sequence,species1,family1,order1,avibase_id1,total_individuals,female,male,unknown,complete_measures,beak_length_culmen,beak_length_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary1,hand_wing_index,tail_length,mass,mass_source,mass_refs_other,inference,traits_inferred,reference_species,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,min_latitude,max_latitude,centroid_latitude,centroid_longitude,range_size,species
3433,Ceyx azureus,Alcedinidae,Coraciiformes,AVIBASE-AC4118FA,6,0,1,5,4,49,39.6,6.6,8.6,10.3,74,18.3,55.4,24.9,35.2,34.9,Dunning,NA,NO,NA,NA,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,-43.64,2.65,-20.15,141.77,3398489.47,Ceyx azureus
3518,Dacelo novaeguineae,Alcedinidae,Coraciiformes,AVIBASE-94AF4A47,7,2,3,2,4,68.6,50.3,22.6,24.4,26.8,216.1,62.5,152.3,29.1,153.1,333.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Omnivore,Insessorial,-39.47,-10.02,-28.34,145.7,2413843.09,Dacelo novaeguineae
3505,Todiramphus pyrrhopygius,Alcedinidae,Coraciiformes,AVIBASE-F103AAE1,5,2,3,0,4,41.7,33.5,11.2,10.4,15.3,100.2,36.8,63.8,36.5,67.8,51.7,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-38.4,-10.69,-25.32,134.41,7435153.36,Todiramphus pyrrhopygius
3496,Todiramphus sanctus,Alcedinidae,Coraciiformes,AVIBASE-D3BC0A03,38,4,5,29,8,43.4,34.3,10.5,10.1,12.9,91.3,27.7,64.1,30.1,60.5,53,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Invertivore,Insessorial,-47.29,-9.76,-26.17,134.92,5939587.69,Todiramphus sanctus
3377,Eurystomus orientalis,Coraciidae,Coraciiformes,AVIBASE-924BAB9C,8,4,4,0,4,32,20.1,11.8,13.4,16.8,186.2,68.4,116.8,36.9,98,143,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Invertivore,Aerial,-38.83,55.19,14.36,121.24,12922409.59,Eurystomus orientalis
1689,Cacomantis flabelliformis,Cuculidae,Cuculiformes,AVIBASE-D86848D4,5,2,3,0,4,21.5,11.5,4.9,5.6,16.7,137.2,59.2,78,43.2,133.4,49.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-43.64,-0.53,-28.78,142.25,2434269.44,Cacomantis flabelliformis
1693,Cacomantis variolosus,Cuculidae,Cuculiformes,AVIBASE-05824D50,15,7,5,3,8,20.5,12.9,5.3,5.4,16.3,115.4,45.5,72.9,38.3,112.9,35.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-39.48,19.58,-8.9,129.81,3706197.51,Cacomantis variolosus
1626,Centropus phasianinus,Cuculidae,Cuculiformes,AVIBASE-598BC113,5,3,2,0,4,38.4,21.8,11.1,16.9,54.4,248.8,29.2,219.8,11.8,346.2,382,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-36.26,-1.47,-17.66,138.76,2665520.2,Centropus phasianinus
1675,Chalcites basalis,Cuculidae,Cuculiformes,AVIBASE-91248B47,5,2,3,0,4,15.9,9.4,4.1,4.2,18,99.6,40.5,59,40.6,68.4,23.1,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Generalist,-43.64,-9.75,-25.73,134.49,7686831.12,Chalcites basalis
1678,Chalcites lucidus,Cuculidae,Cuculiformes,AVIBASE-19268395,4,2,2,0,4,18.3,10.5,5.8,4.7,17.6,102.8,45.2,57.6,44,67.5,24.4,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-47.29,-9.75,-30.39,144.03,2736789.25,Chalcites lucidus
1680,Chalcites minutillus,Cuculidae,Cuculiformes,AVIBASE-28101531,11,5,5,1,8,18.8,12.2,5.1,4.7,14.7,93.2,35.4,58.5,37.7,59.6,18.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-31.45,11.31,-9.9,133.84,2896885.75,Chalcites minutillus
1676,Chalcites osculans,Cuculidae,Cuculiformes,AVIBASE-087C279E,5,2,2,1,4,18.4,11.5,4.8,5.1,18.8,115.2,45.4,68.8,39.8,86.4,30.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-38.86,-10.9,-25.39,134.69,7041722.87,Chalcites osculans
1671,Eudynamys orientalis,Cuculidae,Cuculiformes,AVIBASE-3F75E818,9,4,5,0,8,33.9,19.7,10,11.1,37.4,209.9,50.5,159.9,23.9,206,194.9,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Frugivore,Insessorial,-36.68,2.65,-13.65,139.99,2672035.03,Eudynamys orientalis
1695,Heteroscenes pallidus,Cuculidae,Cuculiformes,AVIBASE-D2B68684,5,2,2,1,4,26.5,15.6,6.6,7,22.7,186.2,92.5,94,49.6,162,87.7,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-43.64,-10.69,-25.74,134.48,7667931.16,Heteroscenes pallidus
1673,Scythrops novaehollandiae,Cuculidae,Cuculiformes,AVIBASE-D9638667,5,2,3,0,4,82.8,63.1,26.7,31.4,45.4,339.2,151.5,184.2,45.1,270,684,Dunning,NA,NO,NA,NA,Forest,2,3,Omnivore,Frugivore,Insessorial,-42.37,1.88,-17.62,139.27,2375285.46,Scythrops novaehollandiae
64,Alectura lathami,Megapodiidae,Galliformes,AVIBASE-6BD20F58,4,2,2,0,4,37.8,20.9,12,17.4,80.6,289.8,61.7,228,21.4,218.5,2333.1,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-35.15,-10.02,-22.76,148.09,642830.5,Alectura lathami
6222,Acanthiza apicalis,Acanthizidae,Passeriformes,AVIBASE-4413633D,20,8,12,0,4,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,7.6,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-36,-16.78,-27.63,131.95,4124270.8,Acanthiza apicalis
6218,Acanthiza chrysorrhoa,Acanthizidae,Passeriformes,AVIBASE-B1B0E343,13,5,8,0,4,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,9.3,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Terrestrial,-43.64,-18.56,-28.8,136.41,4590956.34,Acanthiza chrysorrhoa
