"species","occurrences"
"Gymnorhina tibicen",143
"Strepera graculina",125
"Colluricincla harmonica",124
"Dacelo novaeguineae",124
"Platycercus elegans",124
"Malurus cyaneus",122
"Corvus coronoides",120
"Rhipidura albiscapa",110
"Anthochaera carunculata",108
"Cacatua galerita",105
"Eolophus roseicapilla",104
"Rhipidura leucophrys",98
"Coracina novaehollandiae",96
"Grallina cyanoleuca",96
"Pardalotus striatus",94
"Caligavis chrysops",93
"Pachycephala rufiventris",93
"Platycercus eximius",92
"Corvus mellori",90
"Corcorax melanorhamphos",87
"Ptilotula penicillata",86
"Todiramphus sanctus",84
"Cormobates leucophaea",82
"Philemon corniculatus",79
"Psephotus haematonotus",79
"Acanthiza chrysorrhoa",78
"Pardalotus punctatus",78
"Zosterops lateralis",78
"Sturnus vulgaris",76
"Eopsaltria australis",72
"Sericornis frontalis",71
"Acanthiza pusilla",70
"Neochmia temporalis",67
"Alisterus scapularis",66
"Petroica phoenicea",64
"Turdus merula",61
"Cacatua sanguinea",59
"Artamus cyanopterus",56
"Manorina melanocephala",55
"Acanthorhynchus tenuirostris",54
"Smicrornis brevirostris",52
"Philemon citreogularis",50
"Climacteris picumnus",49
"Myiagra inquieta",48
"Cracticus torquatus",47
"Cincloramphus mathewsi",46
"Acanthiza lineata",45
"Cacomantis flabelliformis",45
"Melithreptus lunatus",44
"Melithreptus brevirostris",43
